ID,age,gender,ethnicity,school,TIME,Duration (in seconds),lat,long,Company,Regard,Privacy,Recommend
21,5,2,1,8,6:00,383,39.73510742,-75.66840363,Instagram,5,5,5
22,3,2,1,10,6:00,368,29.63130188,-82.58139801,Instagram,7,5,10
23,3,1,1,8,7:00,431,30.79170227,-81.57309723,Instagram,5,5,10
24,4,1,1,8,6:00,340,29.42410278,-98.49359894,Instagram,6,6,7
25,2,1,1,8,6:00,369,-12.98330688,-38.51669312,Instagram,5,7,8
26,3,1,1,8,6:00,393,34.020401,-84.24449921,Instagram,3,6,4
27,3,1,3,8,6:00,411,40.72140503,-74.00520325,Instagram,6,7,7
28,2,1,1,8,8:00,445,45.67990112,-89.34600067,Instagram,3,4,1
29,2,1,1,4,6:00,376,35.47799683,-120.4891052,Instagram,2,4,4
30,2,2,1,7,8:00,476,33.37759399,-112.3873978,Instagram,6,10,8
31,3,2,3,8,7:00,435,34.07640076,-118.2626038,Instagram,6,9,9
32,2,1,2,8,8:00,482,33.43569946,-111.917099,Instagram,5,4,10
33,3,2,3,8,7:00,454,45.02850342,-93.29889679,Instagram,7,10,10
34,2,2,1,8,7:00,434,36.10780334,-86.76899719,Instagram,6,5,8
35,3,2,1,8,7:00,461,41.603302,-87.75469971,Instagram,2,1,0
36,2,1,5,5,6:00,401,29.55569458,-95.63349915,Instagram,6,3,8
37,2,2,1,4,7:00,468,36.09860229,-95.92880249,Instagram,5,8,7
38,3,1,1,4,7:00,387,39.9315033,-91.38400269,Instagram,1,1,0
39,3,1,1,11,9:00,522,10.31669617,-72.3167038,Instagram,4,3,2
40,3,1,1,8,9:00,493,43.043396,-87.89450073,Instagram,5,5,5
41,2,2,1,8,9:00,513,26.69630432,-81.94290161,Instagram,3,7,4
42,4,2,1,9,9:00,513,39.0223999,-94.31569672,Instagram,5,6,3
43,3,1,5,8,9:00,515,33.89990234,-117.4404984,Instagram,4,4,5
44,3,1,1,4,7:00,381,40.4066925,-80.1108017,Instagram,6,8,8
45,5,2,1,9,9:00,495,40.78849792,-84.03359985,Instagram,1,2,1
46,3,1,1,8,9:00,518,39.31610107,-76.57520294,Instagram,3,3,6
47,3,2,1,9,8:00,474,36.09710693,-95.96269989,Instagram,3,5,5
48,3,2,1,4,9:00,542,30.50349426,-88.14320374,Instagram,4,5,5
49,3,1,1,8,8:00,489,42.29240417,-85.69080353,Instagram,3,6,2
50,5,2,1,8,8:00,518,0,0,Instagram,1,5,0
51,4,1,1,7,8:00,509,44.45239258,-73.18409729,Instagram,5,5,7
52,4,2,1,8,8:00,522,42.52160645,-83.16329956,Instagram,5,5,6
53,2,2,1,8,7:00,462,30.290802,-81.63300323,Instagram,7,9,10
54,4,2,1,9,9:00,569,34.2868042,-118.6139984,Instagram,6,4,6
55,2,2,5,5,8:00,532,33.74740601,-117.9938965,Instagram,6,8,7
56,6,1,1,5,10:00,548,42.20930481,-70.93260193,Instagram,1,0,0
57,2,1,1,5,6:00,324,30.09829712,-95.35700226,Instagram,5,6,7
58,3,1,1,4,9:00,545,28.15109253,-82.46150208,Instagram,3,1,5
59,3,1,1,4,8:00,481,47.63549805,-122.3235016,Instagram,5,6,8
60,3,1,1,9,9:00,539,37.75100708,-97.8219986,Instagram,6,6,6
61,3,1,3,8,10:00,619,25.7631073,-80.19110107,Instagram,6,9,8
62,6,2,1,8,9:00,581,34.28529358,-92.14859772,Instagram,4,5,10
63,2,1,1,9,9:00,560,40.55990601,-115.6155014,Instagram,1,1,2
64,6,2,1,7,9:00,551,45.52879333,-122.3590012,Instagram,4,0,0
65,3,1,5,8,7:00,441,40.28300476,-74.62169647,Instagram,4,5,6
66,3,1,1,7,10:00,606,43.89880371,-69.97250366,Instagram,7,8,10
67,3,1,3,8,8:00,479,28.53109741,-80.85230255,Instagram,7,10,10
68,3,2,1,5,11:00,612,42.33180237,-83.3710022,Instagram,7,9,7
69,3,2,1,11,10:00,575,10.31669617,-72.3167038,Instagram,7,8,9
70,4,1,1,8,11:00,609,40.76179504,-73.32929993,Instagram,6,3,6
71,3,2,1,8,8:00,465,40.79100037,-73.92559814,Instagram,7,7,10
72,3,2,2,9,11:00,637,25.70140076,-80.35820007,Instagram,7,10,10
73,3,1,1,10,10:00,594,40.77619934,-73.95480347,Instagram,6,5,9
74,2,1,1,4,9:00,513,41.77589417,-72.52149963,Instagram,7,7,10
75,5,2,1,8,11:00,662,45.67410278,-122.4714966,Instagram,3,0,5
76,3,2,1,5,6:00,376,25.78059387,-80.18260193,Instagram,5,6,6
77,3,1,1,8,10:00,614,33.50799561,-112.1253967,Instagram,4,3,5
78,3,1,1,10,10:00,614,29.7203064,-95.31390381,Instagram,4,0,2
79,3,1,1,9,9:00,524,42.63389587,-71.29570007,Instagram,2,2,0
80,2,1,1,8,8:00,519,34.62480164,-112.4219971,Instagram,4,0,5
81,2,2,1,8,10:00,626,38.77009583,-77.63210297,Instagram,5,7,7
82,4,2,1,8,11:00,694,41.49729919,-81.4713974,Instagram,5,4,6
83,4,2,1,6,9:00,594,45.3217926,-122.5231018,Instagram,2,2,0
84,2,1,1,8,11:00,630,29.73950195,-95.38790131,Instagram,6,9,8
